S.No,IMO Number,Vessel Name,Maker,Model,Make Type,Detail,Engine Type,Mark,Emission,Features,Injection,MAKE,MODEL
139,9478597,CARINA,HITACHI MAN B&W,6S50MC-C (MK 7),MAN B&W,6S50,MC-C,7,,,,MAN BW,6S50::7
140,9484704,CARL OLDENDORFF,HYUNDAI MAN B&W,6S60MC-C MK7,MAN B&W,6S60,MC-C,7,,,,MAN BW,6S60::7
141,9834155,CASTARA,HYUNDAI MAN B&W,6G50ME-C9.5 (TIER II),MAN B&W,6G50,ME-C,9.5,TIER II,,,MAN BW,6G50::9.5
142,9582489,CECILIA B,MITSUI-MAN B&W,6S60MC-C,MAN B&W,6S60,MC-C,,,,,MAN BW,6S60
143,9591571,CEDRIC OLDENDORFF,MITSUI-MAN B&W,6S60MC-C (MARK-7),MAN B&W,6S60,MC-C,7,,,,MAN BW,6S60::7
144,9697416,CEZANNE,HYUNDAI MAN B&W,9S90ME-C MARK 9.2,MAN B&W,9S90,ME-C,9.2,,,,MAN BW,9S90::9.2
145,9254070,CHAPEL,MITSUI MAN B&W,6S50MC MARK 6,MAN B&W,6S50,MC-C,6,,,,MAN BW,6S50::6
146,9570852,CHARLOTTE OLDENDORFF,DOOSAN-MAN B&W,6S60MC MK6,MAN B&W,6S60,MC-C,6,,,,MAN BW,6S60::6
147,9777424,CHEMOCEAN LEO,JAPAN ENGINE CORP.,5UEC50LSH-ECO-C2,Others,,,,,,,Others,
148,9777412,CHEMOCEAN ORION,JAPAN ENGINE CORP.,5UEC50LSH-ECO-C2,Others,,,,,,,Others,
149,9855434,CHILEAN BULKER,YMD MAN B&W,5S50ME-B9.3,MAN B&W,5S50,ME-B,9.3,,,,MAN BW,5S50::9.3
150,1021673,CHINOOK I,,,,,,,,,,,
151,9537898,CHRISTINE OLDENDORFF,HYUNDAI-MAN B&W,6S60MC-C,MAN B&W,6S60,MC-C,,,,,MAN BW,6S60
152,9360960,CITY ISLAND,HITACHI MAN B&W,6S42MC MK6,MAN B&W,6S42,MC-C,6,,,,MAN BW,6S42::6
153,9953286,CL CHANGSHA,MAN B&W,6S50ME-C9.7 HPSCR,MAN B&W,6S50,ME-C,9.7,,HPSCR,,MAN BW,6S50::9.7
154,9953327,CL GANJIANG,HHM MAN B&W,6S50ME-C9.7,MAN B&W,6S50,ME-C,9.7,,,,MAN BW,6S50::9.7
155,9953353,CL HUAIHUA,HHM MAN B&W,6S50ME-C9.7,MAN B&W,6S50,ME-C,9.7,,,,MAN BW,6S50::9.7
156,9747302,CL LIANYUNGANG,HHM MAN B&W,6S60ME-C8.2 (TIER II),MAN B&W,6S60,ME-C,8.2,TIER II,,,MAN BW,6S60::8.2
157,9943580,CL LUZHOU,HHM MAN B&W,6S50ME-B9.3,MAN B&W,6S50,ME-B,9.3,,,,MAN BW,6S50::9.3
158,9977361,CL MAOMING,HHM MAN B&W,6S50ME-C9.7,MAN B&W,6S50,ME-C,9.7,,,,MAN BW,6S50::9.7
159,9953303,CL SHANGGAO,HHM MAN B&W,6S50ME-C9.7,MAN B&W,6S50,ME-C,9.7,,,,MAN BW,6S50::9.7
160,9953341,CL SHAOYANG,HHM MAN B&W,6S50ME-C9.7,MAN B&W,6S50,ME-C,9.7,,,,MAN BW,6S50::9.7
161,9953315,CL XIANGTAN,HHM MAN B&W,6S50ME-C9.7,MAN B&W,6S50,ME-C,9.7,,,,MAN BW,6S50::9.7
162,9938810,CL XINYU,HHM MAN B&W,6S60ME-C10.5-HPSCR,MAN B&W,6S60,ME-C,10.5,,HPSCR,,MAN BW,6S60::10.5
163,9943578,CL XUCHANG,HHM MAN B&W,6S50ME-B9.3,MAN B&W,6S50,ME-B,9.3,,,,MAN BW,6S50::9.3
